Timestamp,Input Text,Sentiment,Confidence Score
2024-12-18 11:58:51.625181,To do is a good day to learn python.,POSITIVE,1.00
2024-12-18 13:00:54.154376,My ass hurts.,NEGATIVE,1.00
2024-12-18 13:05:28.871527,Does a dog have Buddha nature?,NEGATIVE,0.99
2024-12-18 13:05:53.427439,My dog wags his tail!,NEGATIVE,0.61
2024-12-18 13:06:16.519559,The happy man is never angry.,POSITIVE,1.00
2024-12-18 13:06:26.309643,The angry man is never happy.,NEGATIVE,1.00
2024-11-24 17:45:18,Mock text 1 with sentiment POSITIVE,POSITIVE,0.86
2024-12-12 08:16:49,Mock text 2 with sentiment POSITIVE,NEGATIVE,0.71
2024-12-16 12:19:11,Mock text 3 with sentiment NEGATIVE,NEGATIVE,0.91
2024-11-29 07:22:08,Mock text 4 with sentiment NEUTRAL,NEGATIVE,0.73
2024-12-15 01:22:24,Mock text 5 with sentiment NEGATIVE,NEGATIVE,0.99
2024-11-22 02:41:51,Mock text 6 with sentiment NEGATIVE,NEGATIVE,0.97
2024-11-24 02:42:35,Mock text 7 with sentiment POSITIVE,POSITIVE,0.96
2024-12-12 15:41:17,Mock text 8 with sentiment NEGATIVE,NEUTRAL,0.78
2024-12-06 09:48:57,Mock text 9 with sentiment NEUTRAL,NEGATIVE,0.8
2024-11-28 23:36:24,Mock text 10 with sentiment NEUTRAL,NEGATIVE,0.94
2024-12-06 02:25:46,Mock text 11 with sentiment NEGATIVE,NEUTRAL,0.73
2024-12-08 02:35:44,Mock text 12 with sentiment NEUTRAL,NEGATIVE,0.97
2024-11-25 08:26:43,Mock text 13 with sentiment NEGATIVE,NEUTRAL,0.8
2024-11-22 02:26:00,Mock text 14 with sentiment NEGATIVE,POSITIVE,0.98
2024-11-22 01:49:30,Mock text 15 with sentiment POSITIVE,POSITIVE,0.93
2024-12-11 11:01:32,Mock text 16 with sentiment NEGATIVE,NEUTRAL,0.87
2024-11-27 06:48:08,Mock text 17 with sentiment POSITIVE,NEUTRAL,0.94
2024-11-22 15:15:33,Mock text 18 with sentiment NEGATIVE,NEUTRAL,0.72
2024-12-12 15:51:34,Mock text 19 with sentiment NEUTRAL,NEUTRAL,0.87
2024-12-15 22:09:08,Mock text 20 with sentiment NEGATIVE,NEUTRAL,0.86
2024-11-29 02:56:01,Mock text 21 with sentiment POSITIVE,NEGATIVE,0.99
2024-11-25 23:36:05,Mock text 22 with sentiment NEUTRAL,POSITIVE,0.75
2024-12-15 22:13:40,Mock text 23 with sentiment NEUTRAL,POSITIVE,0.76
2024-12-18 09:40:07,Mock text 24 with sentiment NEGATIVE,POSITIVE,0.72
2024-12-01 09:06:17,Mock text 25 with sentiment NEUTRAL,POSITIVE,0.92
2024-12-16 12:08:56,Mock text 26 with sentiment NEUTRAL,POSITIVE,0.83
2024-12-18 13:29:49,Mock text 27 with sentiment NEUTRAL,NEUTRAL,0.8
2024-12-10 20:00:05,Mock text 28 with sentiment POSITIVE,NEUTRAL,0.96
2024-12-02 15:37:01,Mock text 29 with sentiment NEUTRAL,NEUTRAL,0.81
2024-12-05 12:52:43,Mock text 30 with sentiment NEUTRAL,NEUTRAL,0.71
2024-12-06 15:39:06,Mock text 31 with sentiment NEUTRAL,POSITIVE,0.97
2024-12-01 18:51:25,Mock text 32 with sentiment POSITIVE,NEGATIVE,0.83
2024-12-07 03:22:15,Mock text 33 with sentiment NEGATIVE,POSITIVE,0.89
2024-11-25 04:40:26,Mock text 34 with sentiment NEUTRAL,POSITIVE,0.87
2024-12-18 06:11:12,Mock text 35 with sentiment NEUTRAL,POSITIVE,0.89
2024-11-27 02:19:50,Mock text 36 with sentiment POSITIVE,POSITIVE,0.9
2024-11-25 09:16:28,Mock text 37 with sentiment NEUTRAL,NEUTRAL,0.97
2024-12-15 13:08:04,Mock text 38 with sentiment POSITIVE,POSITIVE,0.75
2024-12-10 08:13:41,Mock text 39 with sentiment NEUTRAL,NEUTRAL,0.87
2024-11-24 18:25:38,Mock text 40 with sentiment NEUTRAL,NEGATIVE,0.73
2024-11-24 01:07:38,Mock text 41 with sentiment NEGATIVE,POSITIVE,0.94
2024-11-23 20:10:22,Mock text 42 with sentiment NEGATIVE,POSITIVE,0.97
2024-12-15 17:40:31,Mock text 43 with sentiment NEGATIVE,POSITIVE,0.73
2024-12-15 19:06:47,Mock text 44 with sentiment NEUTRAL,POSITIVE,0.78
2024-11-24 12:32:54,Mock text 45 with sentiment POSITIVE,NEUTRAL,0.99
2024-11-24 16:26:26,Mock text 46 with sentiment NEUTRAL,POSITIVE,0.87
2024-12-10 03:59:46,Mock text 47 with sentiment NEGATIVE,NEUTRAL,0.97
2024-12-18 23:41:39,Mock text 48 with sentiment NEGATIVE,NEUTRAL,0.76
2024-12-04 09:26:50,Mock text 49 with sentiment NEGATIVE,NEUTRAL,0.76
2024-12-18 05:49:26,Mock text 50 with sentiment POSITIVE,NEGATIVE,0.99
2024-12-01 19:49:34,Mock text 51 with sentiment NEGATIVE,NEGATIVE,0.95
2024-12-05 01:57:04,Mock text 52 with sentiment NEUTRAL,NEUTRAL,0.88
2024-11-21 19:30:20,Mock text 53 with sentiment NEUTRAL,POSITIVE,0.78
2024-11-28 06:20:05,Mock text 54 with sentiment POSITIVE,NEGATIVE,0.75
2024-11-27 22:59:14,Mock text 55 with sentiment POSITIVE,NEUTRAL,0.74
2024-11-23 08:33:02,Mock text 56 with sentiment NEGATIVE,POSITIVE,0.97
2024-11-24 10:32:28,Mock text 57 with sentiment NEGATIVE,NEUTRAL,0.96
2024-12-13 09:37:46,Mock text 58 with sentiment NEGATIVE,POSITIVE,0.71
2024-11-24 23:19:14,Mock text 59 with sentiment NEUTRAL,POSITIVE,0.81
2024-12-14 22:42:40,Mock text 60 with sentiment POSITIVE,NEGATIVE,0.87
2024-11-21 09:05:13,Mock text 61 with sentiment NEGATIVE,NEUTRAL,0.8
2024-11-23 19:09:24,Mock text 62 with sentiment POSITIVE,NEGATIVE,0.88
2024-11-23 18:44:02,Mock text 63 with sentiment NEUTRAL,NEGATIVE,0.99
2024-11-19 18:40:27,Mock text 64 with sentiment NEGATIVE,POSITIVE,0.9
2024-11-23 11:11:40,Mock text 65 with sentiment NEGATIVE,NEUTRAL,0.88
2024-12-07 21:41:03,Mock text 66 with sentiment POSITIVE,NEGATIVE,0.75
2024-12-02 00:34:35,Mock text 67 with sentiment POSITIVE,NEUTRAL,0.9
