Timestamp,Input Text,Sentiment,Confidence
2024-01-24 11:31:00,Superb quality and value for money.,POSITIVE,0.86
2024-12-09 04:57:00,"I might consider buying again, not sure.",NEUTRAL,0.88
2024-03-14 04:29:00,I will never buy from this company again.,NEGATIVE,0.82
2024-11-08 16:23:00,This is the worst purchase I've made this year.,NEGATIVE,0.74
2024-04-09 21:50:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.96
2024-11-13 13:36:00,"An average product, nothing to rave about.",NEUTRAL,0.81
2024-01-20 02:45:00,"Terrible experience, I want a refund.",NEGATIVE,0.78
2024-11-20 00:26:00,This product did not meet my expectations.,NEGATIVE,0.71
2024-02-18 04:14:00,"Customer service was decent, could be better.",NEUTRAL,0.89
2024-03-19 09:42:00,The product exceeded my expectations!,POSITIVE,0.94
2024-06-28 01:42:00,"Top-notch, I'm very satisfied.",POSITIVE,0.97
2024-12-24 12:14:00,One star for the terrible support team.,NEGATIVE,0.79
2024-06-12 23:27:00,"Neutral experience, met basic expectations.",NEUTRAL,0.84
2024-04-23 08:53:00,"Customer service was decent, could be better.",NEUTRAL,0.77
2024-06-14 03:52:00,Unacceptable experience overall.,NEGATIVE,0.81
2024-08-17 12:18:00,"It's fine, does the job.",NEUTRAL,0.87
2024-07-26 18:38:00,The product exceeded my expectations!,POSITIVE,0.9
2024-10-30 08:10:00,"Poor quality, not worth the money.",NEGATIVE,0.69
2024-11-29 09:00:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.75
2024-04-14 15:19:00,Unacceptable experience overall.,NEGATIVE,0.66
2024-10-21 06:57:00,This is the best purchase I've made this year.,POSITIVE,0.85
2024-05-31 13:18:00,"Poor quality, not worth the money.",NEGATIVE,0.78
2024-02-02 16:01:00,Nothing special about this product.,NEUTRAL,0.76
2024-04-29 10:18:00,"Neutral experience, met basic expectations.",NEUTRAL,0.78
2024-12-04 23:17:00,"Average experience, not bad but not great.",NEUTRAL,0.83
2024-02-25 22:55:00,Customer service was unhelpful and rude.,NEGATIVE,0.76
2024-09-29 08:35:00,"The service was acceptable, nothing more.",NEUTRAL,0.79
2024-02-07 13:36:00,"Poor quality, not worth the money.",NEGATIVE,0.66
2024-09-19 01:44:00,I'm very disappointed with this.,NEGATIVE,0.67
2024-05-22 00:38:00,"I might consider buying again, not sure.",NEUTRAL,0.82
2024-04-28 14:32:00,"It's fine, does the job.",NEUTRAL,0.87
2024-10-10 13:58:00,Five stars for the excellent support team!,POSITIVE,0.92
2024-12-04 10:30:00,I'm so happy with this!,POSITIVE,0.85
2024-04-26 03:06:00,Customer service was unhelpful and rude.,NEGATIVE,0.75
2024-08-10 19:39:00,"Brilliant service, keep up the good work!",POSITIVE,0.93
2024-02-10 17:30:00,"Horrible service, needs improvement.",NEGATIVE,0.66
2024-09-16 02:25:00,This is the best purchase I've made this year.,POSITIVE,0.85
2024-10-24 19:25:00,Nothing special about this product.,NEUTRAL,0.84
2024-10-27 01:24:00,Superb quality and value for money.,POSITIVE,0.97
2024-12-03 14:09:00,"Terrible experience, I want a refund.",NEGATIVE,0.67
2024-11-01 16:34:00,I will definitely recommend this to others.,POSITIVE,0.95
2024-09-09 08:56:00,"The service was acceptable, nothing more.",NEUTRAL,0.88
2024-11-08 10:32:00,Superb quality and value for money.,POSITIVE,0.98
2024-01-28 18:16:00,Customer service was unhelpful and rude.,NEGATIVE,0.67
2024-06-09 12:36:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.87
2024-05-09 02:47:00,"Neutral experience, met basic expectations.",NEUTRAL,0.8
2024-09-06 10:21:00,The product exceeded my expectations!,POSITIVE,0.98
2024-03-28 12:56:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.89
2024-04-25 20:51:00,This is the best purchase I've made this year.,POSITIVE,0.96
2024-03-26 15:15:00,"Customer service was fantastic, very helpful.",POSITIVE,0.91
2024-06-05 21:11:00,This product did not meet my expectations.,NEGATIVE,0.66
2024-07-10 19:40:00,Unacceptable experience overall.,NEGATIVE,0.79
2024-04-27 08:11:00,"Neutral experience, met basic expectations.",NEUTRAL,0.82
2024-06-23 18:27:00,"Average experience, not bad but not great.",NEUTRAL,0.81
2024-05-25 15:11:00,One star for the terrible support team.,NEGATIVE,0.79
2024-12-25 05:25:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.81
2024-11-29 20:57:00,I'm very disappointed with this.,NEGATIVE,0.7
2024-02-09 03:56:00,"Brilliant service, keep up the good work!",POSITIVE,0.92
2024-07-24 05:42:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.88
2024-05-27 01:43:00,This is the best purchase I've made this year.,POSITIVE,0.86
2024-10-05 19:01:00,"Horrible service, needs improvement.",NEGATIVE,0.74
2024-05-13 23:10:00,I'm very disappointed with this.,NEGATIVE,0.83
2024-09-20 10:00:00,"The service was acceptable, nothing more.",NEUTRAL,0.77
2024-08-11 12:15:00,One star for the terrible support team.,NEGATIVE,0.65
2024-02-04 16:22:00,"It's fine, does the job.",NEUTRAL,0.83
2024-10-06 21:00:00,Unacceptable experience overall.,NEGATIVE,0.76
2024-07-18 01:43:00,"I might consider buying again, not sure.",NEUTRAL,0.78
2024-07-08 21:41:00,This is the best purchase I've made this year.,POSITIVE,0.98
2024-11-28 17:05:00,Nothing special about this product.,NEUTRAL,0.88
2024-01-08 11:13:00,Unacceptable experience overall.,NEGATIVE,0.81
2024-10-02 07:01:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.81
2024-09-14 11:18:00,I will definitely recommend this to others.,POSITIVE,0.92
2024-05-06 06:17:00,This is the best purchase I've made this year.,POSITIVE,0.96
2024-08-21 23:48:00,"Neutral experience, met basic expectations.",NEUTRAL,0.89
2024-05-25 11:04:00,One star for the terrible support team.,NEGATIVE,0.75
2024-09-13 04:41:00,Superb quality and value for money.,POSITIVE,0.98
2024-06-03 22:38:00,"It's fine, does the job.",NEUTRAL,0.8
2024-11-01 00:37:00,I'm so happy with this!,POSITIVE,0.99
2024-07-25 04:49:00,This is the worst purchase I've made this year.,NEGATIVE,0.83
2024-11-17 10:29:00,This is the best purchase I've made this year.,POSITIVE,0.95
2024-10-15 03:26:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.87
2024-02-03 05:48:00,"I might consider buying again, not sure.",NEUTRAL,0.81
2024-04-04 16:10:00,One star for the terrible support team.,NEGATIVE,0.79
2024-11-24 06:58:00,This is the best purchase I've made this year.,POSITIVE,0.92
2024-08-02 01:10:00,"Customer service was fantastic, very helpful.",POSITIVE,0.97
2024-12-02 04:24:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.88
2024-10-07 01:46:00,One star for the terrible support team.,NEGATIVE,0.65
2024-07-28 06:08:00,"An average product, nothing to rave about.",NEUTRAL,0.85
2024-11-20 02:20:00,"Brilliant service, keep up the good work!",POSITIVE,0.92
2024-02-23 22:32:00,"Customer service was fantastic, very helpful.",POSITIVE,0.88
2024-09-23 13:36:00,"Customer service was fantastic, very helpful.",POSITIVE,0.97
2024-02-01 00:57:00,"Top-notch, I'm very satisfied.",POSITIVE,0.87
2024-09-20 04:00:00,Superb quality and value for money.,POSITIVE,0.88
2024-04-18 04:07:00,I will never buy from this company again.,NEGATIVE,0.71
2024-07-23 00:23:00,"Customer service was fantastic, very helpful.",POSITIVE,0.94
2024-01-12 20:47:00,Customer service was unhelpful and rude.,NEGATIVE,0.8
2024-07-18 15:00:00,This product did not meet my expectations.,NEGATIVE,0.69
2024-03-14 11:21:00,"Top-notch, I'm very satisfied.",POSITIVE,0.88
2024-07-14 16:12:00,"Horrible service, needs improvement.",NEGATIVE,0.76
2024-02-27 01:02:00,"I might consider buying again, not sure.",NEUTRAL,0.85
2024-03-04 07:19:00,I'm very disappointed with this.,NEGATIVE,0.8
2024-04-14 19:29:00,"Horrible service, needs improvement.",NEGATIVE,0.81
2024-03-02 02:48:00,Customer service was unhelpful and rude.,NEGATIVE,0.75
2024-09-22 12:57:00,"Horrible service, needs improvement.",NEGATIVE,0.68
2024-08-04 08:03:00,Five stars for the excellent support team!,POSITIVE,0.89
2024-01-24 10:13:00,"I might consider buying again, not sure.",NEUTRAL,0.83
2024-11-10 11:59:00,"I might consider buying again, not sure.",NEUTRAL,0.85
2024-03-23 21:47:00,"I might consider buying again, not sure.",NEUTRAL,0.75
2024-01-17 01:00:00,This purchase was neither good nor bad.,NEUTRAL,0.85
2024-07-29 12:29:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.86
2024-05-18 02:51:00,This product did not meet my expectations.,NEGATIVE,0.67
2024-01-25 21:17:00,"Average experience, not bad but not great.",NEUTRAL,0.78
2024-02-14 23:10:00,"Poor quality, not worth the money.",NEGATIVE,0.73
2024-04-27 12:48:00,This is the best purchase I've made this year.,POSITIVE,0.94
2024-04-06 09:52:00,This product did not meet my expectations.,NEGATIVE,0.66
2024-04-11 08:02:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.87
2024-07-22 18:27:00,"Customer service was fantastic, very helpful.",POSITIVE,0.98
2024-02-26 20:55:00,"I might consider buying again, not sure.",NEUTRAL,0.85
2024-03-07 06:48:00,Unacceptable experience overall.,NEGATIVE,0.73
2024-06-02 03:19:00,"Terrible experience, I want a refund.",NEGATIVE,0.85
2024-03-05 22:52:00,Unacceptable experience overall.,NEGATIVE,0.8
