Timestamp,Input Text,Sentiment,Confidence
2024-11-12 16:18:00,"Great experience, I would highly recommend it!",POSITIVE,0.76
2024-03-07 08:10:00,I would not recommend this to anyone.,NEGATIVE,0.99
2024-01-20 13:21:00,I absolutely loved this product!,POSITIVE,0.89
2024-07-14 18:30:00,I'm so happy with my purchase!,POSITIVE,0.9
2024-05-03 22:13:00,An average experience overall.,NEUTRAL,0.92
2024-12-05 09:14:00,This is the best decision I've made all year!,POSITIVE,0.94
2024-06-05 11:16:00,The experience was awful and frustrating.,NEGATIVE,0.98
2024-11-06 20:06:00,I absolutely loved this product!,POSITIVE,0.87
2024-04-14 13:06:00,I would not recommend this to anyone.,NEGATIVE,0.82
2024-04-03 20:59:00,"It met my expectations, but nothing more.",NEUTRAL,0.93
2024-11-20 19:20:00,The service was fantastic and exceeded my expectations.,POSITIVE,0.85
2024-07-26 20:05:00,An average experience overall.,NEUTRAL,0.85
2024-11-01 08:28:00,The service was subpar and unacceptable.,NEGATIVE,0.78
2024-08-23 00:14:00,The service was subpar and unacceptable.,NEGATIVE,0.79
2024-11-16 02:33:00,I'm very disappointed in the quality of this item.,NEGATIVE,0.99
2024-03-14 16:13:00,"Great experience, I would highly recommend it!",POSITIVE,0.85
2024-07-11 15:41:00,The service was fantastic and exceeded my expectations.,POSITIVE,0.94
2024-11-19 20:20:00,An average experience overall.,NEUTRAL,0.91
2024-12-14 14:03:00,"It was okay, not great but not terrible.",NEUTRAL,0.99
2024-10-20 03:05:00,"Terrible decision, I regret buying this.",NEGATIVE,0.85
2024-05-03 17:14:00,I'm very disappointed in the quality of this item.,NEGATIVE,0.75
2024-03-25 06:26:00,I'm so happy with my purchase!,POSITIVE,0.8
2024-04-13 15:04:00,I would not recommend this to anyone.,NEGATIVE,0.97
2024-08-29 07:15:00,The service was fantastic and exceeded my expectations.,POSITIVE,0.91
2024-09-13 09:12:00,I'm very disappointed in the quality of this item.,NEGATIVE,0.87
2024-11-02 09:16:00,This is the best decision I've made all year!,POSITIVE,0.9
2024-12-01 23:08:00,The service was subpar and unacceptable.,NEGATIVE,0.77
2024-11-17 13:52:00,"Great experience, I would highly recommend it!",POSITIVE,0.87
2024-04-17 01:48:00,The service was fantastic and exceeded my expectations.,POSITIVE,0.84
2024-10-09 02:33:00,"Terrible decision, I regret buying this.",NEGATIVE,0.87
2024-03-24 16:11:00,The service was subpar and unacceptable.,NEGATIVE,0.98
2024-02-20 23:03:00,"The product is fine, but nothing special.",NEUTRAL,0.95
2024-11-06 07:48:00,I would not recommend this to anyone.,NEGATIVE,0.98
2024-08-24 23:42:00,The service was fantastic and exceeded my expectations.,POSITIVE,0.93
2024-10-14 13:30:00,I'm very disappointed in the quality of this item.,NEGATIVE,0.83
